run_name,DLNTDR_1,DLNNDR_1,DLNTDR_2,DLNNDR_2,NU_EE,MASS_1,RMIN,Q,S,KAPPA,KY,SHIFT,GAMMA_E,split
2019_03-isotope_d_at5_filtered,3.5,1.0,3.5,1.0,0.1,1.0,0.5,2.0,1.0,1.0,1.0049999952316284,0.0,0.0,train
2019_03-isotope_d_b0_filtered,3.0,3.0,3.0,3.0,0.05,1.0,0.5,2.0,1.0,1.0,1.0049999952316284,0.0,0.0,train
2019_03-isotope_d_b1_filtered,3.0,3.0,3.0,3.0,0.1,1.0,0.5,2.0,1.0,1.0,1.0049999952316284,0.0,0.0,train
2019_03-isotope_d_b2_filtered,3.0,3.0,3.0,3.0,0.167,1.0,0.5,2.0,1.0,1.0,1.0049999952316284,0.0,0.0,train
2019_03-isotope_d_b3_filtered,3.0,3.0,3.0,3.0,0.278,1.0,0.5,2.0,1.0,1.0,1.0049999952316284,0.0,0.0,train
2019_03-isotope_d_b4_filtered,3.0,3.0,3.0,3.0,0.464,1.0,0.5,2.0,1.0,1.0,1.0049999952316284,0.0,0.0,train
2019_03-isotope_d_b5_filtered,3.0,3.0,3.0,3.0,0.774,1.0,0.5,2.0,1.0,1.0,1.0049999952316284,0.0,0.0,train
2019_03-isotope_d_b6_filtered,3.0,3.0,3.0,3.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0049999952316284,0.0,0.0,train
2019_03-isotope_h_a0_filtered,3.0,1.0,3.0,1.0,0.05,0.5,0.5,2.0,1.0,1.0,1.4212499856948853,0.0,0.0,train
2019_03-isotope_h_a1_filtered,3.0,1.0,3.0,1.0,0.1,0.5,0.5,2.0,1.0,1.0,1.4212499856948853,0.0,0.0,train
2019_03-isotope_h_a2_filtered,3.0,1.0,3.0,1.0,0.167,0.5,0.5,2.0,1.0,1.0,1.4212499856948853,0.0,0.0,train
2019_03-isotope_h_a3_filtered,3.0,1.0,3.0,1.0,0.278,0.5,0.5,2.0,1.0,1.0,1.4212499856948853,0.0,0.0,train
2019_03-isotope_h_a4_filtered,3.0,1.0,3.0,1.0,0.464,0.5,0.5,2.0,1.0,1.0,1.4212499856948853,0.0,0.0,train
2019_03-isotope_h_a5_filtered,3.0,1.0,3.0,1.0,0.774,0.5,0.5,2.0,1.0,1.0,1.4212499856948853,0.0,0.0,train
2019_03-isotope_h_a6_filtered,3.0,1.0,3.0,1.0,1.0,0.5,0.5,2.0,1.0,1.0,1.4212499856948853,0.0,0.0,train
2019_03-isotope_h_an0_filtered,3.0,0.0,3.0,0.0,0.1,0.5,0.5,2.0,1.0,1.0,1.4212499856948853,0.0,0.0,train
2019_03-isotope_h_an1_filtered,3.0,0.5,3.0,0.5,0.1,0.5,0.5,2.0,1.0,1.0,1.4212499856948853,0.0,0.0,train
2019_03-isotope_h_an2_filtered,3.0,1.0,3.0,1.0,0.1,0.5,0.5,2.0,1.0,1.0,1.4212499856948853,0.0,0.0,train
2019_03-isotope_h_an2_q1_filtered,3.0,1.0,3.0,1.0,0.1,0.5,0.5,1.6,0.8,1.0,1.4212499856948853,0.0,0.0,train
2019_03-isotope_h_an2_q3_filtered,3.0,1.0,3.0,1.0,0.1,0.5,0.5,3.0,1.5,1.0,1.4212499856948853,0.0,0.0,ood
2019_03-isotope_h_an2_q4_filtered,3.0,1.0,3.0,1.0,0.1,0.5,0.5,4.0,2.0,1.0,1.4212499856948853,0.0,0.0,ood
2019_03-isotope_h_an3_filtered,3.0,1.5,3.0,1.5,0.1,0.5,0.5,2.0,1.0,1.0,1.4212499856948853,0.0,0.0,train
2019_03-isotope_h_an4_filtered,3.0,2.0,3.0,2.0,0.1,0.5,0.5,2.0,1.0,1.0,1.4212499856948853,0.0,0.0,train
2019_03-isotope_h_an5_filtered,3.0,2.5,3.0,2.5,0.1,0.5,0.5,2.0,1.0,1.0,1.4212499856948853,0.0,0.0,train
2019_03-isotope_h_an6_filtered,3.0,3.0,3.0,3.0,0.1,0.5,0.5,2.0,1.0,1.0,1.4212499856948853,0.0,0.0,train
2019_03-isotope_h_an6_q1_filtered,3.0,3.0,3.0,3.0,0.1,0.5,0.5,1.6,0.8,1.0,1.4212499856948853,0.0,0.0,ood
2019_03-isotope_h_an6_q3_filtered,3.0,3.0,3.0,3.0,0.1,0.5,0.5,3.0,1.5,1.0,1.4212499856948853,0.0,0.0,train
2019_03-isotope_h_an6_q4_filtered,3.0,3.0,3.0,3.0,0.1,0.5,0.5,4.0,2.0,1.0,1.4212499856948853,0.0,0.0,ood
2019_03-isotope_h_at0_filtered,1.25,1.0,1.25,1.0,0.1,0.5,0.5,2.0,1.0,1.0,1.4212499856948853,0.0,0.0,train
2019_03-isotope_h_at1_filtered,1.5,1.0,1.5,1.0,0.1,0.5,0.5,2.0,1.0,1.0,1.4212499856948853,0.0,0.0,train
2019_03-isotope_h_at2_filtered,2.0,1.0,2.0,1.0,0.1,0.5,0.5,2.0,1.0,1.0,1.4212499856948853,0.0,0.0,train
2019_03-isotope_h_at3_filtered,2.5,1.0,2.5,1.0,0.1,0.5,0.5,2.0,1.0,1.0,1.4212499856948853,0.0,0.0,train
2019_03-isotope_h_at5_filtered,3.5,1.0,3.5,1.0,0.1,0.5,0.5,2.0,1.0,1.0,1.4212499856948853,0.0,0.0,train
2019_03-isotope_h_b2_filtered,3.0,3.0,3.0,3.0,0.167,0.5,0.5,2.0,1.0,1.0,1.4212499856948853,0.0,0.0,train
2019_03-isotope_h_b3_filtered,3.0,3.0,3.0,3.0,0.278,0.5,0.5,2.0,1.0,1.0,1.4212499856948853,0.0,0.0,train
2019_03-isotope_h_b4_filtered,3.0,3.0,3.0,3.0,0.464,0.5,0.5,2.0,1.0,1.0,1.4212499856948853,0.0,0.0,train
2019_03-isotope_h_b5_filtered,3.0,3.0,3.0,3.0,0.774,0.5,0.5,2.0,1.0,1.0,1.4212499856948853,0.0,0.0,train
2019_03-isotope_h_b6_filtered,3.0,3.0,3.0,3.0,1.0,0.5,0.5,2.0,1.0,1.0,1.4212499856948853,0.0,0.0,train
2019_03-isotope_t_a0_filtered,3.0,1.0,3.0,1.0,0.05,1.5,0.5,2.0,1.0,1.0,0.8205000162124634,0.0,0.0,train
2019_03-isotope_t_a1_filtered,3.0,1.0,3.0,1.0,0.1,1.5,0.5,2.0,1.0,1.0,0.8205000162124634,0.0,0.0,train
2019_03-isotope_t_a2_filtered,3.0,1.0,3.0,1.0,0.167,1.5,0.5,2.0,1.0,1.0,0.8205000162124634,0.0,0.0,train
2019_03-isotope_t_a3_filtered,3.0,1.0,3.0,1.0,0.278,1.5,0.5,2.0,1.0,1.0,0.8205000162124634,0.0,0.0,train
2019_03-isotope_t_a4_filtered,3.0,1.0,3.0,1.0,0.464,1.5,0.5,2.0,1.0,1.0,0.8205000162124634,0.0,0.0,train
2019_03-isotope_t_a5_filtered,3.0,1.0,3.0,1.0,0.774,1.5,0.5,2.0,1.0,1.0,0.8205000162124634,0.0,0.0,train
2019_03-isotope_t_a6_filtered,3.0,1.0,3.0,1.0,1.0,1.5,0.5,2.0,1.0,1.0,0.8205000162124634,0.0,0.0,train
2019_03-isotope_t_an0_filtered,3.0,0.0,3.0,0.0,0.1,1.5,0.5,2.0,1.0,1.0,0.8205000162124634,0.0,0.0,train
2019_03-isotope_t_an1_filtered,3.0,0.5,3.0,0.5,0.1,1.5,0.5,2.0,1.0,1.0,0.8205000162124634,0.0,0.0,train
2019_03-isotope_t_an2_filtered,3.0,1.0,3.0,1.0,0.1,1.5,0.5,2.0,1.0,1.0,0.8205000162124634,0.0,0.0,train
2019_03-isotope_t_an2_q1_filtered,3.0,1.0,3.0,1.0,0.1,1.5,0.5,1.6,0.8,1.0,0.8205000162124634,0.0,0.0,train
2019_03-isotope_t_an2_q3_filtered,3.0,1.0,3.0,1.0,0.1,1.5,0.5,3.0,1.5,1.0,0.8205000162124634,0.0,0.0,ood
2019_03-isotope_t_an2_q4_filtered,3.0,1.0,3.0,1.0,0.1,1.5,0.5,4.0,2.0,1.0,0.8205000162124634,0.0,0.0,ood
2019_03-isotope_t_an3_filtered,3.0,1.5,3.0,1.5,0.1,1.5,0.5,2.0,1.0,1.0,0.8205000162124634,0.0,0.0,train
2019_03-isotope_t_an4_filtered,3.0,2.0,3.0,2.0,0.1,1.5,0.5,2.0,1.0,1.0,0.8205000162124634,0.0,0.0,train
2019_03-isotope_t_an5_filtered,3.0,2.5,3.0,2.5,0.1,1.5,0.5,2.0,1.0,1.0,0.8205000162124634,0.0,0.0,train
2019_03-isotope_t_an6_filtered,3.0,3.0,3.0,3.0,0.1,1.5,0.5,2.0,1.0,1.0,0.8205000162124634,0.0,0.0,train
2019_03-isotope_t_an6_q1_filtered,3.0,3.0,3.0,3.0,0.1,1.5,0.5,1.6,0.8,1.0,0.8205000162124634,0.0,0.0,ood
2019_03-isotope_t_an6_q3_filtered,3.0,3.0,3.0,3.0,0.1,1.5,0.5,3.0,1.5,1.0,0.8205000162124634,0.0,0.0,train
2019_03-isotope_t_an6_q4_filtered,3.0,3.0,3.0,3.0,0.1,1.5,0.5,4.0,2.0,1.0,0.8205000162124634,0.0,0.0,ood
2019_03-isotope_t_at0_filtered,1.25,1.0,1.25,1.0,0.1,1.5,0.5,2.0,1.0,1.0,0.8205000162124634,0.0,0.0,train
2019_03-isotope_t_at1_filtered,1.5,1.0,1.5,1.0,0.1,1.5,0.5,2.0,1.0,1.0,0.8205000162124634,0.0,0.0,train
2019_03-isotope_t_at2_filtered,2.0,1.0,2.0,1.0,0.1,1.5,0.5,2.0,1.0,1.0,0.8205000162124634,0.0,0.0,train
2019_03-isotope_t_at3_filtered,2.5,1.0,2.5,1.0,0.1,1.5,0.5,2.0,1.0,1.0,0.8205000162124634,0.0,0.0,train
2019_03-isotope_t_at5_filtered,3.5,1.0,3.5,1.0,0.1,1.5,0.5,2.0,1.0,1.0,0.8205000162124634,0.0,0.0,train
2019_03-isotope_t_b0_filtered,3.0,3.0,3.0,3.0,0.05,1.5,0.5,2.0,1.0,1.0,0.8205000162124634,0.0,0.0,train
2019_03-isotope_t_b2_filtered,3.0,3.0,3.0,3.0,0.167,1.5,0.5,2.0,1.0,1.0,0.8205000162124634,0.0,0.0,train
2019_03-isotope_t_b3_filtered,3.0,3.0,3.0,3.0,0.278,1.5,0.5,2.0,1.0,1.0,0.8205000162124634,0.0,0.0,train
2019_03-isotope_t_b4_filtered,3.0,3.0,3.0,3.0,0.464,1.5,0.5,2.0,1.0,1.0,0.8205000162124634,0.0,0.0,train
2019_03-isotope_t_b5_filtered,3.0,3.0,3.0,3.0,0.774,1.5,0.5,2.0,1.0,1.0,0.8205000162124634,0.0,0.0,train
2019_03-isotope_t_b6_filtered,3.0,3.0,3.0,3.0,1.0,1.5,0.5,2.0,1.0,1.0,0.8205000162124634,0.0,0.0,train
2019_05-exb_stdG10N20_low_filtered,3.0,1.0,3.0,1.0,0.05,1.0,0.5,2.0,1.0,1.0,1.0049999952316284,0.0,0.1,train
2019_05-exb_stdGH10_low_filtered,3.0,1.0,3.0,1.0,0.05,1.0,0.5,2.0,1.0,1.0,1.0049999952316284,0.0,0.1,train
2019_05-garyshift_stdS00G00_high_filtered,3.0,1.0,3.0,1.0,0.05,1.0,0.5,2.0,1.0,1.0,2.0769999027252197,0.0,0.0,train
2019_05-garyshift_stdS00G00_low_filtered,3.0,1.0,3.0,1.0,0.05,1.0,0.5,2.0,1.0,1.0,1.0049999952316284,0.0,0.0,train
2019_05-garyshift_stdS00G00_med_filtered,3.0,1.0,3.0,1.0,0.05,1.0,0.5,2.0,1.0,1.0,1.5410000085830688,0.0,0.0,train
2019_05-garyshift_stdS00G10_high_filtered,3.0,1.0,3.0,1.0,0.05,1.0,0.5,2.0,1.0,1.0,2.0769999027252197,0.0,0.1,train
2019_05-garyshift_stdS00G10_low_filtered,3.0,1.0,3.0,1.0,0.05,1.0,0.5,2.0,1.0,1.0,1.0049999952316284,0.0,0.1,train
2019_05-garyshift_stdS00G10_med_filtered,3.0,1.0,3.0,1.0,0.05,1.0,0.5,2.0,1.0,1.0,1.5410000085830688,0.0,0.1,train
2019_05-garyshift_stdS00GH10_med_filtered,3.0,1.0,3.0,1.0,0.05,1.0,0.5,2.0,1.0,1.0,1.5410000085830688,0.0,0.1,train
2019_05-garyshift_stdS25G00_med_filtered,3.0,1.0,3.0,1.0,0.05,1.0,0.5,2.0,1.0,1.0,1.5410000085830688,-0.25,0.0,train
2019_05-garyshift_stdS50G00_low_filtered,3.0,1.0,3.0,1.0,0.05,1.0,0.5,2.0,1.0,1.0,1.0049999952316284,-0.5,0.0,train
2019_05-garyshift_stdS50G00_med_filtered,3.0,1.0,3.0,1.0,0.05,1.0,0.5,2.0,1.0,1.0,1.5410000085830688,-0.5,0.0,train
2019_05-garyshift_stdS50G10_low_filtered,3.0,1.0,3.0,1.0,0.05,1.0,0.5,2.0,1.0,1.0,1.0049999952316284,-0.5,0.1,train
2019_05-garyshift_stdS50G10_med_filtered,3.0,1.0,3.0,1.0,0.05,1.0,0.5,2.0,1.0,1.0,1.5410000085830688,-0.5,0.1,ood
2019_05-garyshift_stdS50GH10_med_filtered,3.0,1.0,3.0,1.0,0.05,1.0,0.5,2.0,1.0,1.0,1.5410000085830688,-0.5,0.1,train
2019_10-exb_2res_a1_filtered,3.0,1.0,3.0,1.0,0.05,1.0,0.5,2.0,1.0,1.0,1.5410000085830688,0.0,0.0,train
2019_10-exb_2res_a2_filtered,3.0,1.0,3.0,1.0,0.05,1.0,0.5,2.0,1.0,1.0,1.5410000085830688,0.0,0.1,train
2019_10-exb_2res_a3_filtered,3.0,1.0,3.0,1.0,0.05,1.0,0.5,2.0,1.0,1.0,1.5410000085830688,0.0,0.2,train
2019_10-exb_2res_a4_filtered,3.0,1.0,3.0,1.0,0.05,1.0,0.5,2.0,1.0,1.0,1.5410000085830688,0.0,0.3,train
2019_10-exb_2res_a5_filtered,3.0,1.0,3.0,1.0,0.05,1.0,0.5,2.0,1.0,1.0,1.5410000085830688,0.0,0.4,train
2019_10-exb_2res_a6_filtered,3.0,1.0,3.0,1.0,0.05,1.0,0.5,2.0,1.0,1.0,1.5410000085830688,0.0,0.5,train
2019_10-exb_2res_b1_filtered,3.0,1.0,3.0,1.0,0.05,1.0,0.5,2.0,1.0,1.0,1.5410000085830688,0.0,0.0,train
2019_10-exb_2res_b2_filtered,3.0,1.0,3.0,1.0,0.05,1.0,0.5,2.0,1.0,1.0,1.5410000085830688,0.0,0.1,train
2019_10-exb_2res_b3_filtered,3.0,1.0,3.0,1.0,0.05,1.0,0.5,2.0,1.0,1.0,1.5410000085830688,0.0,0.2,train
2019_10-exb_2res_b4_filtered,3.0,1.0,3.0,1.0,0.05,1.0,0.5,2.0,1.0,1.0,1.5410000085830688,0.0,0.3,ood
2019_10-exb_2res_b5_filtered,3.0,1.0,3.0,1.0,0.05,1.0,0.5,2.0,1.0,1.0,1.5410000085830688,0.0,0.4,ood
2019_10-exb_2res_b6_filtered,3.0,1.0,3.0,1.0,0.05,1.0,0.5,2.0,1.0,1.0,1.5410000085830688,0.0,0.5,train
2019_11-exb_kappa_a1_filtered,3.0,1.0,3.0,1.0,0.05,1.0,0.5,2.0,1.0,1.25,1.5410000085830688,0.0,0.0,train
2019_11-exb_kappa_a2_filtered,3.0,1.0,3.0,1.0,0.05,1.0,0.5,2.0,1.0,1.25,1.5410000085830688,0.0,0.1,train
2019_11-exb_kappa_a3_filtered,3.0,1.0,3.0,1.0,0.05,1.0,0.5,2.0,1.0,1.25,1.5410000085830688,0.0,0.2,train
2019_11-exb_kappa_a4_filtered,3.0,1.0,3.0,1.0,0.05,1.0,0.5,2.0,1.0,1.25,1.5410000085830688,0.0,0.3,train
2019_11-exb_kappa_b1_filtered,3.0,1.0,3.0,1.0,0.05,1.0,0.5,2.0,1.0,1.5,1.5410000085830688,0.0,0.0,train
2019_11-exb_kappa_b2_filtered,3.0,1.0,3.0,1.0,0.05,1.0,0.5,2.0,1.0,1.5,1.5410000085830688,0.0,0.1,train
2019_11-exb_kappa_b3_filtered,3.0,1.0,3.0,1.0,0.05,1.0,0.5,2.0,1.0,1.5,1.5410000085830688,0.0,0.2,train
2019_11-exb_kappa_b4_filtered,3.0,1.0,3.0,1.0,0.05,1.0,0.5,2.0,1.0,1.5,1.5410000085830688,0.0,0.3,train
2019_11-exb_kappa_c1_filtered,3.0,1.0,3.0,1.0,0.05,1.0,0.5,2.0,1.0,1.75,1.5410000085830688,0.0,0.0,train
2019_11-exb_kappa_c2_filtered,3.0,1.0,3.0,1.0,0.05,1.0,0.5,2.0,1.0,1.75,1.5410000085830688,0.0,0.1,train
2019_11-exb_kappa_c3_filtered,3.0,1.0,3.0,1.0,0.05,1.0,0.5,2.0,1.0,1.75,1.5410000085830688,0.0,0.2,train
2019_11-exb_kappa_c4_filtered,3.0,1.0,3.0,1.0,0.05,1.0,0.5,2.0,1.0,1.75,1.5410000085830688,0.0,0.3,train
2019_11-exb_shift_a1_filtered,3.0,1.0,3.0,1.0,0.05,1.0,0.5,2.0,1.0,1.0,1.5410000085830688,-0.1,0.0,train
2019_11-exb_shift_a2_filtered,3.0,1.0,3.0,1.0,0.05,1.0,0.5,2.0,1.0,1.0,1.5410000085830688,-0.1,0.1,train
2019_11-exb_shift_a3_filtered,3.0,1.0,3.0,1.0,0.05,1.0,0.5,2.0,1.0,1.0,1.5410000085830688,-0.1,0.2,train
2019_11-exb_shift_a4_filtered,3.0,1.0,3.0,1.0,0.05,1.0,0.5,2.0,1.0,1.0,1.5410000085830688,-0.1,0.3,train
2019_11-exb_shift_b1_filtered,3.0,1.0,3.0,1.0,0.05,1.0,0.5,2.0,1.0,1.0,1.5410000085830688,-0.2,0.0,train
2019_11-exb_shift_b2_filtered,3.0,1.0,3.0,1.0,0.05,1.0,0.5,2.0,1.0,1.0,1.5410000085830688,-0.2,0.1,train
2019_11-exb_shift_b3_filtered,3.0,1.0,3.0,1.0,0.05,1.0,0.5,2.0,1.0,1.0,1.5410000085830688,-0.2,0.2,train
2019_11-exb_shift_b4_filtered,3.0,1.0,3.0,1.0,0.05,1.0,0.5,2.0,1.0,1.0,1.5410000085830688,-0.2,0.3,train
2019_11-exb_shift_c1_filtered,3.0,1.0,3.0,1.0,0.05,1.0,0.5,2.0,1.0,1.0,1.5410000085830688,-0.4,0.0,train
2019_11-exb_shift_c2_filtered,3.0,1.0,3.0,1.0,0.05,1.0,0.5,2.0,1.0,1.0,1.5410000085830688,-0.4,0.1,train
2019_11-exb_shift_c3_filtered,3.0,1.0,3.0,1.0,0.05,1.0,0.5,2.0,1.0,1.0,1.5410000085830688,-0.4,0.2,train
2019_11-exb_shift_c4_filtered,3.0,1.0,3.0,1.0,0.05,1.0,0.5,2.0,1.0,1.0,1.5410000085830688,-0.4,0.3,train
2020_05-theta_diagnostic_a1_filtered,3.0,1.0,3.0,1.0,0.05,1.0,0.8,2.0,1.0,1.5,1.5410000085830688,-0.25,0.0,train
2020_05-theta_diagnostic_a2_filtered,3.0,1.0,3.0,1.0,0.05,1.0,0.8,2.0,1.0,1.5,1.149999976158142,-0.25,0.0,ood
2020_05-theta_diagnostic_a3_filtered,3.0,1.0,3.0,1.0,0.05,1.0,0.8,2.0,0.5,1.5,1.149999976158142,-0.25,0.0,ood
2020_08-nuei_lor_alor0_filtered,3.0,1.0,3.0,1.0,0.01,1.0,0.5,2.0,1.0,1.0,1.0049999952316284,0.0,0.0,train
2020_08-nuei_lor_alor1_filtered,3.0,1.0,3.0,1.0,0.02,1.0,0.5,2.0,1.0,1.0,1.0049999952316284,0.0,0.0,train
2020_08-nuei_lor_alor2_filtered,3.0,1.0,3.0,1.0,0.05,1.0,0.5,2.0,1.0,1.0,1.0049999952316284,0.0,0.0,train
2020_08-nuei_lor_alor3_filtered,3.0,1.0,3.0,1.0,0.1,1.0,0.5,2.0,1.0,1.0,1.0049999952316284,0.0,0.0,train
2020_08-nuei_lor_alor3_hnorm_filtered,3.0,1.0,3.0,1.0,0.07071067,2.0,0.5,2.0,1.0,1.0,0.7106422781944275,0.0,0.0,train
2020_08-nuei_lor_alor4_filtered,3.0,1.0,3.0,1.0,0.167,1.0,0.5,2.0,1.0,1.0,1.0049999952316284,0.0,0.0,train
2020_08-nuei_lor_alor5_filtered,3.0,1.0,3.0,1.0,0.278,1.0,0.5,2.0,1.0,1.0,1.0049999952316284,0.0,0.0,train
2020_08-nuei_lor_alor6_filtered,3.0,1.0,3.0,1.0,0.464,1.0,0.5,2.0,1.0,1.0,1.0049999952316284,0.0,0.0,train
2020_08-nuei_lor_alor7_filtered,3.0,1.0,3.0,1.0,0.774,1.0,0.5,2.0,1.0,1.0,1.0049999952316284,0.0,0.0,train
2020_08-nuei_lor_alor8_filtered,3.0,1.0,3.0,1.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0049999952316284,0.0,0.0,train
2020_08-nuei_lor_blor0_filtered,3.0,3.0,3.0,3.0,0.01,1.0,0.5,2.0,1.0,1.0,1.0049999952316284,0.0,0.0,train
2020_08-nuei_lor_blor1_filtered,3.0,3.0,3.0,3.0,0.02,1.0,0.5,2.0,1.0,1.0,1.0049999952316284,0.0,0.0,train
2020_08-nuei_lor_blor2_filtered,3.0,3.0,3.0,3.0,0.05,1.0,0.5,2.0,1.0,1.0,1.0049999952316284,0.0,0.0,train
2020_08-nuei_lor_blor3_filtered,3.0,3.0,3.0,3.0,0.1,1.0,0.5,2.0,1.0,1.0,1.0049999952316284,0.0,0.0,train
2020_08-nuei_lor_blor4_filtered,3.0,3.0,3.0,3.0,0.167,1.0,0.5,2.0,1.0,1.0,1.0049999952316284,0.0,0.0,train
2020_08-nuei_lor_blor5_filtered,3.0,3.0,3.0,3.0,0.278,1.0,0.5,2.0,1.0,1.0,1.0049999952316284,0.0,0.0,train
2020_08-nuei_lor_blor6_filtered,3.0,3.0,3.0,3.0,0.464,1.0,0.5,2.0,1.0,1.0,1.0049999952316284,0.0,0.0,train
2020_08-nuei_lor_blor7_filtered,3.0,3.0,3.0,3.0,0.774,1.0,0.5,2.0,1.0,1.0,1.0049999952316284,0.0,0.0,train
2020_08-nuei_lor_blor8_filtered,3.0,3.0,3.0,3.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0049999952316284,0.0,0.0,train
2020_09-rmin_r025_filtered,3.0,1.0,3.0,1.0,0.1,1.0,0.25,2.0,1.0,1.0,1.0049999952316284,0.0,0.0,ood
2020_09-rmin_r075_filtered,3.0,1.0,3.0,1.0,0.1,1.0,0.75,2.0,1.0,1.0,1.0049999952316284,0.0,0.0,train
2020_09-rmin_r100_filtered,3.0,1.0,3.0,1.0,0.1,1.0,1.0,2.0,1.0,1.0,1.0049999952316284,0.0,0.0,train
2020_09-rmin_r125_filtered,3.0,1.0,3.0,1.0,0.1,1.0,1.25,2.0,1.0,1.0,1.0049999952316284,0.0,0.0,train
2020_09-rmin_r150_filtered,3.0,1.0,3.0,1.0,0.1,1.0,1.5,2.0,1.0,1.0,1.0049999952316284,0.0,0.0,ood
STD_AC_a1_filtered,3.0,1.0,3.0,1.0,0.8,1.0,0.7,2.0,1.0,1.0,1.5410000085830688,0.0,0.1,train
STD_AC_a2_filtered,3.0,1.0,3.0,1.0,0.8,1.0,0.7,2.0,1.0,1.0,1.5410000085830688,0.0,0.22,train
STD_AC_a3_filtered,3.0,1.0,3.0,1.0,0.8,1.0,0.7,2.0,1.0,1.0,1.5410000085830688,0.0,0.24,train
STD_AC_a4_filtered,3.0,1.0,3.0,1.0,0.8,1.0,0.7,2.0,1.0,1.0,1.5410000085830688,0.0,0.27,train
STD_AC_a5_filtered,3.0,1.0,3.0,1.0,0.8,1.0,0.7,2.0,1.0,1.0,1.5410000085830688,0.0,0.3,train
STD_AC_a6_filtered,3.0,1.0,3.0,1.0,0.8,1.0,0.7,2.0,1.0,1.0,1.5410000085830688,0.0,0.32,train
